"Rentrée";"Code.section";"Section";"Groupe";"Discipline";"Emplois_MCF";"Emplois_PR";"Effectif_MCF";"Effectif_PR";"Renouvellement";"Promotion"
"2018";"27";"27-Informatique";"Mathématiques et informatique";"Sciences";64;33;2372;970;0,0191502094554159;0,0139123102866779
"2018";"28";"28-Milieux denses et matériaux";"Physique";"Sciences";7;9;849;487;0,00523952095808383;0,0106007067137809
"2018";"29";"29-Constituants élémentaires";"Physique";"Sciences";4;2;221;173;0,0101522842639594;0,00904977375565611
"2018";"30";"30-Milieux dilués et optique";"Physique";"Sciences";10;3;371;247;0,0161812297734628;0,00808625336927224
"2018";"31";"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";11;12;663;324;0,011144883485309;0,0180995475113122
"2018";"32";"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";14;6;832;392;0,011437908496732;0,00721153846153846
"2018";"33";"33-Chimie des matériaux";"Chimie";"Sciences";9;6;577;331;0,00991189427312775;0,0103986135181976
"2018";"34";"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";2;4;113;74;0,0106951871657754;0,0353982300884956
"2018";"35";"35-Structure et évolution de la terre et des autres planètes";"Sciences de la terre";"Sciences";7;7;326;177;0,0139165009940358;0,0214723926380368
"2018";"36";"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";3;4;266;124;0,00769230769230769;0,0150375939849624
"2018";"37";"37-Météorologie, océanographie physique et physique de l'environnement";"Sciences de la terre";"Sciences";2;2;132;59;0,0104712041884817;0,0151515151515152
"2018";"60";"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";54;18;1611;786;0,0225281602002503;0,0111731843575419
"2018";"61";"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";26;14;1208;553;0,0147643384440659;0,0115894039735099
"2018";"62";"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";16;7;698;389;0,0147194112235511;0,0100286532951289
"2018";"63";"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";21;11;1110;577;0,012448132780083;0,00990990990990991
"2018";"64";"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";21;13;774;292;0,0196998123827392;0,0167958656330749
"2018";"65";"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";17;7;752;279;0,0164888457807953;0,00930851063829787
"2018";"66";"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";5;5;548;196;0,00672043010752688;0,00912408759124088
"2018";"67";"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";14;7;501;193;0,0201729106628242;0,0139720558882236
"2018";"68";"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";6;2;343;152;0,0121212121212121;0,00583090379008746
"2018";"69";"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";6;2;281;114;0,0151898734177215;0,00711743772241993
"2018";"70";"70-Sciences de l'éducation et de la formation";"Pluridisciplinaire";"Lettres et sciences humaines";35;18;505;173;0,051622418879056;0,0356435643564356
"2018";"71";"71-Sciences de l'information et de la communication";"Pluridisciplinaire";"Lettres et sciences humaines";35;5;619;170;0,0443599493029151;0,00807754442649435
"2018";"72";"72-Epistémologie, histoire des sciences et des techniques";"Pluridisciplinaire";"Lettres et sciences humaines";1;0;69;22;0,010989010989011;0
"2018";"73";"73-Cultures et langues régionales";"Pluridisciplinaire";"Lettres et sciences humaines";1;2;27;20;0,0212765957446809;0,0740740740740741
